MHT_CET,JEE_Main,Branch,Category,Gender,Allocated_College
74.47,67.01,IT,ST,Female,Orchid Solapur
75.06,77.58,CS,EWS,Female,Orchid Solapur
63.96,73.73,IT,OPEN,Female,Local City College
99.99,61.81,CS,EWS,Female,COEP Pune
66.34,94.68,EnTC,OPEN,Female,Local City College
74.61,77.52,Civil,OPEN,Female,Local City College
74.22,65.47,IT,OPEN,Male,Local City College
98.42,48.91,IT,OPEN,Male,PICT Pune
80.58,57.13,EnTC,OBC,Female,Sinhgad Pune
99.99,42.17,CS,OPEN,Female,COEP Pune
74.9,75.24,CS,SC,Male,Orchid Solapur
89.18,51.07,Civil,SC,Male,VIT Pune
72.47,69.69,EnTC,OPEN,Male,Local City College
99.99,99.99,CS,SC,Male,COEP Pune
67.19,98.99,CS,EWS,Male,Local City College
89.65,74.35,EnTC,OPEN,Female,DY Patil Akurdi
94.51,73.26,EnTC,OPEN,Male,VIT Pune
91.21,99.99,Mech,OPEN,Male,PCCOE Pune
82.22,85.42,CS,OPEN,Male,Govt College Karad
83.05,68.44,Civil,OBC,Female,Govt College Karad
85.66,46.48,IT,OPEN,Male,WIT Solapur
82.79,82.88,EnTC,OBC,Male,Govt College Karad
99.46,91.59,IT,OBC,Female,COEP Pune
99.99,62.37,CS,OBC,Female,COEP Pune
76.64,80.82,Civil,OPEN,Male,Orchid Solapur
64.45,67.73,CS,OPEN,Female,Local City College
83.68,71.32,CS,OPEN,Male,Govt College Karad
99.99,25.24,Mech,OPEN,Male,COEP Pune
72.94,70.56,EnTC,EWS,Female,Local City College
99.99,94.39,Mech,OPEN,Male,COEP Pune
99.99,62.37,IT,OPEN,Female,COEP Pune
76.7,76.05,IT,OPEN,Female,Orchid Solapur
93.53,59.88,Civil,SC,Female,VJTI Mumbai
99.99,82.21,CS,SC,Female,COEP Pune
79.31,70.67,Mech,OBC,Male,Orchid Solapur
81.95,56.22,CS,OPEN,Male,Sinhgad Pune
76.27,99.99,Mech,OPEN,Male,Orchid Solapur
69.78,93.58,CS,OBC,Female,Local City College
75.26,62.9,IT,EWS,Male,Orchid Solapur
66.64,84.96,Mech,OBC,Female,Local City College
85.51,85.75,IT,OBC,Male,WIT Solapur
73.45,87.85,EnTC,OPEN,Female,Local City College
88.51,41.11,Mech,OPEN,Male,WIT Solapur
61.66,95.13,EnTC,SC,Male,Local City College
89.96,63.61,Civil,OPEN,Female,DY Patil Akurdi
97.5,67.84,IT,EWS,Male,PICT Pune
55.09,99.99,CS,OPEN,Female,Not Allotted
90.61,81.04,CS,OPEN,Female,DY Patil Akurdi
99.99,67.27,CS,OBC,Male,COEP Pune
66.86,30.89,CS,OPEN,Male,Local City College
99.99,99.99,IT,OPEN,Male,COEP Pune
91.29,48.1,CS,OPEN,Female,PCCOE Pune
74.42,54.93,CS,SC,Female,Orchid Solapur
84.16,68.37,CS,OPEN,Female,Govt College Karad
93.37,99.99,Mech,OPEN,Female,VIT Pune
86.14,90.46,IT,OBC,Female,WIT Solapur
93.08,71.84,IT,OPEN,Female,VIT Pune
71.19,81.17,Mech,EWS,Female,Local City College
87.54,62.99,CS,OPEN,Female,WIT Solapur
63.79,77.79,Civil,SC,Female,Local City College
83.33,76.47,EnTC,OPEN,Male,Govt College Karad
71.44,94.38,CS,SC,Female,Orchid Solapur
73.97,94.34,EnTC,SC,Female,Orchid Solapur
99.99,84.88,EnTC,EWS,Male,COEP Pune
99.99,67.75,IT,OPEN,Male,COEP Pune
94.14,89.84,Mech,OPEN,Female,VIT Pune
68.62,73.16,CS,OBC,Male,Local City College
80.25,53.36,CS,OPEN,Male,Sinhgad Pune
99.99,66.93,CS,OPEN,Female,COEP Pune
87.13,76.69,CS,EWS,Female,WIT Solapur
99.99,93.2,CS,OPEN,Male,COEP Pune
90.9,71.33,Civil,EWS,Female,DY Patil Akurdi
87.88,50.82,CS,OPEN,Male,WIT Solapur
80.36,76.13,IT,SC,Female,WIT Solapur
87.0,77.27,IT,OBC,Female,WIT Solapur
82.71,78.72,Mech,OBC,Male,Govt College Karad
95.62,93.4,Civil,EWS,Male,Walchand Sangli
99.35,95.38,EnTC,OPEN,Male,COEP Pune
73.21,63.12,Civil,ST,Male,Orchid Solapur
65.03,62.68,EnTC,OBC,Male,Local City College
57.46,54.2,Civil,OPEN,Female,Not Allotted
92.62,88.98,EnTC,EWS,Female,PCCOE Pune
68.45,99.99,CS,OPEN,Male,Local City College
52.71,68.7,IT,SC,Male,Not Allotted
90.83,70.17,EnTC,OPEN,Male,DY Patil Akurdi
99.99,99.99,IT,ST,Female,COEP Pune
84.91,85.11,CS,OBC,Female,Govt College Karad
97.58,83.72,IT,OPEN,Male,PICT Pune
86.23,51.18,Civil,OBC,Female,WIT Solapur
83.52,88.57,CS,OPEN,Female,Govt College Karad
98.79,56.42,EnTC,OPEN,Male,VJTI Mumbai
80.65,52.32,EnTC,OPEN,Male,Sinhgad Pune
89.01,68.06,Civil,OPEN,Female,DY Patil Akurdi
89.83,63.28,Civil,OPEN,Female,DY Patil Akurdi
74.98,70.57,EnTC,OBC,Female,Local City College
99.88,46.18,IT,OPEN,Female,COEP Pune
82.38,94.18,CS,OBC,Female,Govt College Karad
73.66,97.55,IT,OPEN,Male,Local City College
93.05,36.05,EnTC,OBC,Female,VIT Pune
71.52,94.57,Mech,SC,Male,Orchid Solapur
85.42,58.79,EnTC,OPEN,Male,WIT Solapur
84.86,92.14,CS,ST,Female,DY Patil Akurdi
99.99,73.63,IT,OBC,Male,COEP Pune
92.12,75.58,CS,SC,Female,SPIT Mumbai
84.62,71.3,CS,OPEN,Male,Govt College Karad
97.27,99.24,CS,OPEN,Female,SPIT Mumbai
99.99,50.21,CS,ST,Male,COEP Pune
93.37,87.16,Mech,SC,Female,PICT Pune
85.16,97.03,CS,OPEN,Female,WIT Solapur
65.32,89.33,CS,OPEN,Male,Local City College
69.02,99.99,Civil,OBC,Male,Local City College
80.42,64.42,IT,OBC,Male,Sinhgad Pune
75.86,94.15,CS,ST,Female,Sinhgad Pune
82.2,72.88,CS,OPEN,Male,Govt College Karad
85.85,99.67,CS,OPEN,Male,WIT Solapur
92.95,74.85,CS,OPEN,Female,PCCOE Pune
83.94,67.24,CS,OPEN,Female,Govt College Karad
92.3,99.99,IT,OPEN,Male,PCCOE Pune
85.97,65.17,CS,ST,Male,DY Patil Akurdi
55.37,46.75,IT,OBC,Female,Not Allotted
70.91,64.66,Mech,SC,Female,Orchid Solapur
82.84,87.38,IT,OPEN,Female,Govt College Karad
66.85,99.99,Civil,OPEN,Male,Local City College
94.0,77.22,IT,OPEN,Male,VIT Pune
99.99,99.99,IT,OPEN,Female,COEP Pune
99.99,47.84,EnTC,SC,Female,COEP Pune
81.8,66.13,CS,OPEN,Female,Sinhgad Pune
99.99,69.23,CS,OPEN,Male,COEP Pune
87.23,72.71,EnTC,OPEN,Male,WIT Solapur
79.94,76.68,IT,OPEN,Male,Orchid Solapur
75.8,88.82,EnTC,SC,Male,Sinhgad Pune
80.46,66.1,Civil,OPEN,Female,Sinhgad Pune
79.18,77.78,IT,SC,Female,Govt College Karad
87.56,74.1,IT,OBC,Male,WIT Solapur
87.41,56.48,IT,OPEN,Female,WIT Solapur
85.05,72.73,Civil,OPEN,Female,WIT Solapur
91.55,72.13,Mech,SC,Male,SPIT Mumbai
99.99,71.7,Civil,SC,Female,COEP Pune
99.24,75.64,CS,OPEN,Male,COEP Pune
62.73,76.51,EnTC,OPEN,Male,Local City College
46.69,66.35,CS,OPEN,Male,Not Allotted
99.01,99.99,CS,OPEN,Female,COEP Pune
64.5,51.61,Civil,OPEN,Male,Local City College
81.63,60.58,CS,OPEN,Female,Sinhgad Pune
67.45,99.99,Civil,OPEN,Female,Local City College
57.97,54.24,CS,OPEN,Male,Not Allotted
93.12,47.92,Mech,OPEN,Male,VIT Pune
96.39,89.69,CS,ST,Male,COEP Pune
76.35,33.46,IT,OBC,Male,Orchid Solapur
46.13,70.29,CS,EWS,Male,Not Allotted
76.81,99.99,IT,OPEN,Female,Orchid Solapur
90.88,44.1,CS,OBC,Female,DY Patil Akurdi
62.82,35.36,EnTC,OPEN,Female,Local City College
87.75,45.02,CS,OBC,Male,WIT Solapur
84.77,92.97,CS,OPEN,Male,Govt College Karad
93.69,97.5,CS,OPEN,Female,VIT Pune
86.79,64.75,IT,EWS,Male,WIT Solapur
70.4,88.66,Mech,OBC,Female,Local City College
99.99,99.99,Mech,EWS,Female,COEP Pune
82.62,99.99,CS,OPEN,Female,Govt College Karad
84.59,70.07,IT,OPEN,Male,Govt College Karad
71.0,28.97,EnTC,OPEN,Male,Local City College
78.35,58.58,CS,SC,Female,Govt College Karad
71.73,66.46,IT,OBC,Male,Local City College
82.41,69.82,IT,EWS,Male,Govt College Karad
99.99,71.24,CS,OPEN,Male,COEP Pune
64.42,97.38,CS,SC,Female,Local City College
60.8,99.99,CS,OPEN,Female,Local City College
99.99,71.57,EnTC,OPEN,Female,COEP Pune
81.86,96.97,CS,OBC,Female,Sinhgad Pune
74.96,82.15,CS,OBC,Female,Local City College
99.99,76.29,CS,OPEN,Male,COEP Pune
75.92,93.13,CS,OPEN,Female,Orchid Solapur
99.99,76.45,CS,OPEN,Male,COEP Pune
95.17,99.99,Civil,OPEN,Female,Walchand Sangli
77.68,46.23,CS,OPEN,Male,Orchid Solapur
99.99,64.7,EnTC,OPEN,Male,COEP Pune
75.91,72.47,IT,OPEN,Female,Orchid Solapur
96.13,83.79,EnTC,EWS,Male,SPIT Mumbai
89.49,99.99,IT,EWS,Male,DY Patil Akurdi
99.99,74.51,CS,OPEN,Male,COEP Pune
99.99,46.56,Mech,EWS,Male,COEP Pune
85.48,91.85,IT,OBC,Male,WIT Solapur
73.7,90.1,Mech,OPEN,Male,Local City College
91.9,36.16,IT,OPEN,Female,PCCOE Pune
74.83,74.92,Civil,EWS,Male,Local City College
99.99,43.2,EnTC,OBC,Female,COEP Pune
87.05,61.71,Civil,SC,Male,PCCOE Pune
79.52,56.94,IT,ST,Male,Govt College Karad
87.77,91.19,IT,OPEN,Male,WIT Solapur
64.79,77.34,EnTC,OPEN,Male,Local City College
70.43,49.29,Mech,OPEN,Male,Local City College
99.99,92.6,Civil,OPEN,Male,COEP Pune
75.15,46.32,CS,OPEN,Male,Orchid Solapur
69.3,81.6,EnTC,OPEN,Male,Local City College
93.05,58.72,CS,OPEN,Female,VIT Pune
99.99,67.69,IT,OPEN,Female,COEP Pune
95.78,85.09,CS,OPEN,Female,Walchand Sangli
99.94,85.43,CS,OPEN,Female,COEP Pune
73.65,99.99,Civil,OPEN,Male,Local City College
63.67,73.35,CS,OPEN,Male,Local City College
99.99,81.13,EnTC,OBC,Male,COEP Pune
80.16,66.25,IT,EWS,Female,Sinhgad Pune
81.24,78.64,CS,OPEN,Female,Sinhgad Pune
99.99,83.79,CS,OPEN,Female,COEP Pune
93.34,73.03,IT,ST,Male,PICT Pune
91.84,38.92,CS,OBC,Male,PCCOE Pune
99.99,81.63,Mech,SC,Female,COEP Pune
75.35,82.29,Civil,OPEN,Male,Orchid Solapur
98.92,61.4,CS,SC,Male,COEP Pune
85.86,49.31,CS,EWS,Male,WIT Solapur
89.03,99.99,IT,OBC,Female,DY Patil Akurdi
99.99,84.83,EnTC,OPEN,Male,COEP Pune
92.62,70.42,CS,ST,Female,PICT Pune
93.07,52.26,CS,SC,Female,PICT Pune
99.99,58.56,IT,SC,Male,COEP Pune
79.53,99.99,Civil,OPEN,Male,Orchid Solapur
72.41,77.75,IT,SC,Male,Orchid Solapur
69.33,63.99,IT,OPEN,Female,Local City College
55.5,85.19,Civil,OPEN,Female,Not Allotted
99.99,58.71,EnTC,OBC,Male,COEP Pune
68.45,99.99,EnTC,OPEN,Male,Local City College
81.68,99.99,IT,OBC,Female,Sinhgad Pune
80.85,65.67,Civil,OBC,Female,Sinhgad Pune
89.61,62.43,EnTC,OPEN,Female,DY Patil Akurdi
97.24,22.64,Mech,OBC,Female,SPIT Mumbai
97.91,45.37,EnTC,EWS,Female,PICT Pune
76.25,48.21,EnTC,OPEN,Male,Orchid Solapur
82.49,77.7,CS,OBC,Female,Govt College Karad
89.24,68.48,CS,OPEN,Female,DY Patil Akurdi
81.27,48.09,EnTC,OPEN,Male,Sinhgad Pune
99.99,69.38,CS,OPEN,Female,COEP Pune
92.36,85.11,IT,OPEN,Female,PCCOE Pune
96.02,85.56,CS,OPEN,Male,SPIT Mumbai
94.94,37.01,Mech,EWS,Female,VIT Pune
99.99,72.43,CS,OBC,Male,COEP Pune
87.72,47.33,Mech,OBC,Female,WIT Solapur
65.55,93.03,EnTC,OPEN,Female,Local City College
91.0,90.68,CS,OBC,Male,DY Patil Akurdi
75.23,57.04,IT,OPEN,Female,Orchid Solapur
77.07,59.68,CS,OPEN,Female,Orchid Solapur
93.8,65.77,CS,OPEN,Male,VIT Pune
99.99,29.94,IT,OPEN,Female,COEP Pune
85.32,81.72,CS,OPEN,Female,WIT Solapur
89.63,69.54,Civil,OBC,Female,DY Patil Akurdi
99.99,94.4,CS,SC,Female,COEP Pune
88.61,53.03,EnTC,OPEN,Female,WIT Solapur
99.99,62.62,IT,OPEN,Male,COEP Pune
93.48,44.87,EnTC,OPEN,Female,VIT Pune
58.59,54.91,IT,EWS,Female,Not Allotted
96.3,51.36,EnTC,SC,Male,COEP Pune
90.72,94.92,EnTC,OBC,Male,DY Patil Akurdi
99.99,61.03,EnTC,EWS,Male,COEP Pune
95.1,77.48,CS,OPEN,Male,Walchand Sangli
82.92,67.38,EnTC,EWS,Female,Govt College Karad
66.64,49.61,CS,OPEN,Female,Local City College
81.86,71.63,CS,OPEN,Female,Sinhgad Pune
72.24,86.98,IT,OBC,Female,Local City College
76.29,50.84,IT,OPEN,Female,Orchid Solapur
93.83,91.18,IT,OBC,Female,VIT Pune
99.99,58.01,EnTC,OPEN,Female,COEP Pune
90.92,65.34,CS,OBC,Male,DY Patil Akurdi
67.06,85.61,CS,OPEN,Female,Local City College
91.67,61.73,CS,OPEN,Male,PCCOE Pune
99.99,75.75,EnTC,EWS,Male,COEP Pune
75.85,68.71,IT,ST,Male,Sinhgad Pune
82.99,77.59,CS,EWS,Female,Govt College Karad
85.22,27.39,EnTC,SC,Female,DY Patil Akurdi
73.23,38.41,IT,OBC,Male,Local City College
94.72,87.32,IT,OBC,Female,VIT Pune
83.19,95.74,IT,OPEN,Female,Govt College Karad
91.29,56.79,EnTC,OPEN,Male,PCCOE Pune
71.69,70.12,EnTC,OPEN,Male,Local City College
78.44,80.89,CS,ST,Female,Govt College Karad
95.84,88.86,CS,OPEN,Male,Walchand Sangli
79.41,34.45,CS,EWS,Male,Orchid Solapur
99.99,57.28,EnTC,OBC,Male,COEP Pune
79.01,68.35,Mech,SC,Female,Govt College Karad
88.37,89.06,IT,OPEN,Female,WIT Solapur
98.99,99.99,CS,OPEN,Male,VJTI Mumbai
63.72,70.44,EnTC,EWS,Male,Local City College
58.59,46.86,Mech,OPEN,Female,Not Allotted
62.12,83.05,Mech,OPEN,Female,Local City College
99.99,99.99,EnTC,OPEN,Female,COEP Pune
76.72,77.16,Mech,OPEN,Female,Orchid Solapur
99.99,56.87,CS,OPEN,Female,COEP Pune
76.54,94.16,CS,OBC,Female,Orchid Solapur
87.77,88.27,CS,OPEN,Male,WIT Solapur
99.99,54.48,EnTC,OBC,Male,COEP Pune
99.99,82.63,CS,OPEN,Male,COEP Pune
99.99,94.95,IT,SC,Female,COEP Pune
99.99,98.64,IT,SC,Male,COEP Pune
99.99,73.67,CS,OPEN,Male,COEP Pune
93.89,67.84,Mech,OPEN,Male,VIT Pune
96.68,99.55,CS,OPEN,Male,SPIT Mumbai
76.73,50.8,IT,SC,Male,Sinhgad Pune
72.73,83.77,EnTC,SC,Male,Orchid Solapur
84.95,47.6,CS,EWS,Male,Govt College Karad
82.45,96.31,EnTC,OPEN,Female,Govt College Karad
78.2,69.84,Mech,OPEN,Male,Orchid Solapur
95.45,99.99,Civil,OPEN,Male,Walchand Sangli
99.33,84.83,Mech,OPEN,Female,COEP Pune
86.33,50.54,CS,OBC,Male,WIT Solapur
99.99,99.99,IT,OPEN,Female,COEP Pune
67.87,99.99,CS,SC,Male,Local City College
82.1,92.65,CS,OBC,Female,Govt College Karad
74.25,59.77,CS,SC,Male,Orchid Solapur
57.0,68.88,CS,OPEN,Male,Not Allotted
83.76,77.91,Mech,EWS,Male,Govt College Karad
83.17,60.93,CS,EWS,Male,Govt College Karad
99.99,99.99,IT,EWS,Male,COEP Pune
94.46,77.89,IT,SC,Female,COEP Pune
69.64,20.93,IT,SC,Male,Local City College
99.99,81.79,Civil,OBC,Female,COEP Pune
99.99,68.04,CS,OPEN,Male,COEP Pune
93.73,73.5,EnTC,OBC,Male,VIT Pune
81.6,67.63,IT,SC,Male,WIT Solapur
70.61,91.14,CS,EWS,Female,Local City College
79.42,97.39,IT,OBC,Female,Orchid Solapur
99.99,80.66,Mech,OPEN,Female,COEP Pune
99.99,68.21,CS,OBC,Female,COEP Pune
99.99,74.17,CS,EWS,Female,COEP Pune
77.67,75.39,CS,OPEN,Male,Orchid Solapur
68.21,58.95,EnTC,OPEN,Male,Local City College
87.11,86.58,EnTC,OBC,Female,WIT Solapur
58.47,84.2,IT,OPEN,Female,Not Allotted
89.85,99.99,IT,OPEN,Male,DY Patil Akurdi
82.79,99.99,Mech,OPEN,Male,Govt College Karad
78.01,61.29,EnTC,ST,Female,Govt College Karad
61.08,91.41,Mech,OPEN,Female,Local City College
92.7,55.98,Mech,OPEN,Male,PCCOE Pune
77.01,88.92,EnTC,SC,Female,Govt College Karad
67.45,64.67,IT,EWS,Male,Local City College
41.92,54.53,Mech,EWS,Female,Not Allotted
84.59,80.6,Civil,OPEN,Female,Govt College Karad
99.99,21.51,CS,EWS,Male,COEP Pune
99.99,39.98,CS,OPEN,Male,COEP Pune
78.14,71.45,Civil,SC,Female,Govt College Karad
75.97,76.65,CS,OBC,Male,Orchid Solapur
92.03,67.61,Mech,OPEN,Female,PCCOE Pune
70.02,43.41,IT,OBC,Female,Local City College
89.53,58.64,CS,OPEN,Male,DY Patil Akurdi
96.49,82.82,CS,ST,Male,COEP Pune
99.99,86.64,CS,OPEN,Male,COEP Pune
83.5,74.68,CS,OBC,Female,Govt College Karad
81.94,98.14,IT,OPEN,Male,Sinhgad Pune
71.83,82.95,EnTC,OPEN,Male,Local City College
72.6,60.05,Civil,EWS,Male,Local City College
81.6,69.39,IT,SC,Female,WIT Solapur
90.51,46.94,IT,EWS,Male,DY Patil Akurdi
98.7,72.84,IT,OPEN,Male,VJTI Mumbai
72.95,97.24,IT,OPEN,Male,Local City College
99.99,88.71,IT,OBC,Male,COEP Pune
80.93,99.99,CS,OPEN,Female,Sinhgad Pune
84.68,68.94,CS,OPEN,Female,Govt College Karad
73.79,99.99,CS,SC,Female,Orchid Solapur
48.64,71.13,CS,OPEN,Female,Not Allotted
98.26,99.99,EnTC,OPEN,Male,PICT Pune
96.05,74.56,CS,OPEN,Female,SPIT Mumbai
80.78,89.14,Mech,OBC,Male,Sinhgad Pune
86.0,99.99,Civil,SC,Female,PCCOE Pune
92.74,71.13,Civil,OPEN,Male,PCCOE Pune
61.56,79.37,Civil,OBC,Male,Local City College
77.06,99.99,CS,OPEN,Male,Orchid Solapur
96.91,72.34,IT,EWS,Female,SPIT Mumbai
66.19,48.58,CS,EWS,Female,Local City College
89.4,99.99,Mech,OBC,Female,DY Patil Akurdi
64.65,65.6,Mech,OPEN,Male,Local City College
92.0,78.18,Mech,OBC,Female,PCCOE Pune
84.47,98.12,IT,OBC,Male,Govt College Karad
60.77,62.83,EnTC,EWS,Female,Local City College
99.99,54.84,CS,EWS,Female,COEP Pune
73.98,80.07,CS,ST,Female,Orchid Solapur
72.85,39.14,EnTC,OPEN,Female,Local City College
88.01,69.24,IT,EWS,Female,WIT Solapur
99.99,79.9,Civil,OBC,Male,COEP Pune
69.76,69.6,CS,SC,Female,Local City College
85.93,44.13,Mech,OPEN,Female,WIT Solapur
91.43,99.99,IT,OPEN,Female,PCCOE Pune
95.4,77.07,Mech,OPEN,Male,Walchand Sangli
87.65,99.99,Mech,OPEN,Female,WIT Solapur
79.49,69.8,Civil,OPEN,Female,Orchid Solapur
72.59,57.4,CS,ST,Male,Orchid Solapur
86.29,80.38,Civil,OPEN,Female,WIT Solapur
68.92,70.68,CS,OPEN,Male,Local City College
41.18,51.44,CS,OPEN,Male,Not Allotted
91.55,99.99,IT,OPEN,Female,PCCOE Pune
98.56,62.55,Mech,EWS,Male,VJTI Mumbai
49.56,38.19,IT,OPEN,Female,Not Allotted
69.85,99.99,Mech,OPEN,Male,Local City College
94.29,64.91,EnTC,EWS,Female,VIT Pune
99.99,62.84,CS,ST,Male,COEP Pune
85.31,39.69,Civil,OPEN,Male,WIT Solapur
74.08,99.99,CS,SC,Male,Orchid Solapur
82.26,49.21,Mech,OBC,Female,Govt College Karad
99.99,76.17,CS,SC,Male,COEP Pune
75.31,93.25,IT,OPEN,Female,Orchid Solapur
73.01,83.43,IT,EWS,Female,Local City College
77.76,73.81,CS,OPEN,Male,Orchid Solapur
70.7,40.97,IT,OPEN,Female,Local City College
86.84,58.81,CS,OPEN,Female,WIT Solapur
99.99,78.76,CS,OPEN,Male,COEP Pune
89.85,59.26,CS,EWS,Female,DY Patil Akurdi
81.21,79.07,IT,OBC,Female,Sinhgad Pune
80.62,88.63,EnTC,OPEN,Male,Sinhgad Pune
61.55,94.25,IT,OPEN,Male,Local City College
98.25,50.48,Mech,OPEN,Male,PICT Pune
83.83,99.99,EnTC,EWS,Male,Govt College Karad
82.29,90.35,EnTC,OBC,Female,Govt College Karad
99.99,74.97,EnTC,OBC,Female,COEP Pune
89.48,96.79,IT,SC,Female,VIT Pune
73.72,99.99,EnTC,SC,Male,Orchid Solapur
78.6,46.23,CS,OBC,Female,Orchid Solapur
99.99,70.49,Mech,OPEN,Male,COEP Pune
86.7,27.43,EnTC,ST,Female,PCCOE Pune
63.43,78.85,CS,SC,Male,Local City College
98.79,82.31,EnTC,SC,Female,COEP Pune
74.98,74.22,CS,EWS,Female,Local City College
99.99,61.91,CS,SC,Male,COEP Pune
99.99,34.01,CS,SC,Female,COEP Pune
78.29,82.47,EnTC,EWS,Female,Orchid Solapur
99.99,99.99,EnTC,OPEN,Female,COEP Pune
86.02,63.18,Mech,OPEN,Female,WIT Solapur
97.79,83.8,CS,OBC,Male,PICT Pune
92.27,43.64,IT,OPEN,Female,PCCOE Pune
72.3,84.14,EnTC,SC,Male,Orchid Solapur
75.35,67.13,CS,SC,Male,Sinhgad Pune
99.99,59.75,EnTC,SC,Male,COEP Pune
79.98,59.79,CS,EWS,Female,Orchid Solapur
78.95,67.13,CS,OPEN,Male,Orchid Solapur
70.67,82.65,IT,SC,Male,Orchid Solapur
91.35,48.76,EnTC,OBC,Male,PCCOE Pune
99.99,67.06,CS,OPEN,Female,COEP Pune
68.99,74.17,CS,OPEN,Female,Local City College
85.36,53.02,CS,ST,Male,DY Patil Akurdi
99.99,99.99,CS,OBC,Male,COEP Pune
83.81,57.93,CS,SC,Female,WIT Solapur
91.79,61.61,IT,OBC,Male,PCCOE Pune
69.06,55.43,EnTC,OPEN,Female,Local City College
91.42,99.99,IT,OPEN,Male,PCCOE Pune
82.19,86.06,EnTC,OPEN,Female,Govt College Karad
99.79,56.27,EnTC,EWS,Female,COEP Pune
99.99,97.12,CS,OPEN,Female,COEP Pune
99.99,79.01,CS,EWS,Male,COEP Pune
93.69,80.15,Mech,EWS,Male,VIT Pune
89.89,68.11,CS,EWS,Female,DY Patil Akurdi
87.92,60.01,CS,OPEN,Female,WIT Solapur
79.7,81.76,CS,EWS,Male,Orchid Solapur
90.08,64.1,EnTC,OPEN,Female,DY Patil Akurdi
80.57,99.99,IT,OPEN,Male,Sinhgad Pune
87.53,49.61,Civil,OPEN,Female,WIT Solapur
99.99,99.99,Mech,EWS,Female,COEP Pune
69.9,72.77,IT,OPEN,Male,Local City College
99.99,80.98,IT,OBC,Male,COEP Pune
99.99,91.66,CS,OPEN,Female,COEP Pune
83.23,62.4,CS,OPEN,Male,Govt College Karad
53.17,92.28,CS,OPEN,Female,Not Allotted
75.88,20.85,CS,ST,Male,Sinhgad Pune
99.99,60.6,CS,OBC,Female,COEP Pune
84.66,56.52,CS,EWS,Male,Govt College Karad
70.01,49.93,CS,OBC,Male,Local City College
77.43,70.7,Civil,EWS,Female,Orchid Solapur
97.61,82.71,IT,OBC,Female,PICT Pune
93.2,89.05,Civil,OBC,Female,VIT Pune
81.42,79.82,IT,OBC,Female,Sinhgad Pune
79.5,61.69,IT,OPEN,Female,Orchid Solapur
79.12,82.38,CS,SC,Female,Govt College Karad
71.16,77.49,CS,OBC,Male,Local City College
99.99,93.72,CS,SC,Female,COEP Pune
80.17,90.54,Civil,SC,Female,WIT Solapur
99.99,75.61,Civil,OPEN,Female,COEP Pune
99.99,57.05,CS,OBC,Female,COEP Pune
99.97,61.94,CS,OPEN,Male,COEP Pune
78.53,64.0,IT,OBC,Female,Orchid Solapur
91.06,68.69,CS,OBC,Female,PCCOE Pune
84.64,80.36,IT,EWS,Male,Govt College Karad
71.44,89.3,CS,OPEN,Male,Local City College
89.87,73.98,IT,OPEN,Female,DY Patil Akurdi
67.31,75.32,CS,OPEN,Male,Local City College
99.99,77.87,IT,OPEN,Female,COEP Pune
78.03,64.68,CS,SC,Male,Govt College Karad
88.02,56.49,IT,SC,Male,VIT Pune
89.25,39.89,Civil,SC,Male,VIT Pune
81.12,61.1,CS,ST,Male,WIT Solapur
93.8,84.46,Mech,OPEN,Male,VIT Pune
77.88,60.94,Mech,OPEN,Female,Orchid Solapur
98.07,70.24,Civil,OPEN,Female,PICT Pune
64.81,84.33,EnTC,ST,Male,Local City College
86.9,85.41,EnTC,SC,Male,PCCOE Pune
99.99,53.41,Mech,OBC,Male,COEP Pune
70.0,94.94,CS,OPEN,Female,Local City College
74.83,97.55,IT,OPEN,Female,Local City College
92.71,52.4,Civil,EWS,Female,PCCOE Pune
87.69,58.52,EnTC,OPEN,Male,WIT Solapur
90.26,98.82,Civil,SC,Female,Walchand Sangli
92.34,72.06,EnTC,OPEN,Male,PCCOE Pune
94.52,30.6,Mech,OPEN,Male,VIT Pune
99.99,47.01,EnTC,SC,Male,COEP Pune
91.15,70.01,EnTC,OPEN,Male,PCCOE Pune
81.38,51.74,IT,SC,Female,WIT Solapur
95.09,66.73,Civil,SC,Female,COEP Pune
99.99,75.65,Mech,OBC,Male,COEP Pune
83.01,99.99,Mech,SC,Male,WIT Solapur
70.38,69.19,EnTC,OBC,Male,Local City College
99.99,96.45,CS,OPEN,Male,COEP Pune
83.19,99.99,CS,SC,Male,WIT Solapur
52.41,99.99,Civil,OBC,Male,Not Allotted
97.71,80.7,IT,OPEN,Female,PICT Pune
76.97,35.73,CS,EWS,Female,Orchid Solapur
83.64,84.22,CS,OBC,Female,Govt College Karad
89.98,95.97,Mech,ST,Male,VIT Pune
87.86,73.38,Mech,ST,Female,PCCOE Pune
95.64,99.99,Mech,OPEN,Female,Walchand Sangli
78.47,92.2,EnTC,OBC,Female,Orchid Solapur
92.7,86.37,IT,OPEN,Female,PCCOE Pune
81.11,96.73,CS,OPEN,Female,Sinhgad Pune
96.08,81.67,CS,ST,Male,COEP Pune
94.23,25.14,Mech,SC,Male,COEP Pune
70.97,65.02,CS,OPEN,Male,Local City College
99.99,98.94,EnTC,OBC,Female,COEP Pune
76.96,58.85,IT,EWS,Male,Orchid Solapur
97.12,70.53,IT,OBC,Female,SPIT Mumbai
90.51,54.1,Civil,SC,Male,Walchand Sangli
99.99,99.99,CS,SC,Female,COEP Pune
81.65,99.99,EnTC,OPEN,Female,Sinhgad Pune
